Jurisdiction,Year,Case Count
Georgia,1906,824
Georgia,1964,802
Georgia,1899,794
Georgia,1903,792
Georgia,1905,788
Georgia,1962,778
Georgia,1950,773
Georgia,1898,770
Georgia,1952,767
Georgia,1961,762
Georgia,1960,760
Georgia,1953,755
Georgia,1901,749
Georgia,1959,746
Georgia,1949,738
Georgia,1963,736
Georgia,1957,717
Georgia,1955,716
Georgia,1956,709
Georgia,1954,709
Georgia,1958,705
Georgia,1897,694
Georgia,1886,693
Georgia,1896,687
Georgia,1943,673
Georgia,1951,668
Georgia,1948,660
Georgia,1885,646
Georgia,1947,644
Georgia,1944,608
Georgia,1894,608
Georgia,1895,604
Georgia,1945,576
Georgia,2019,568
Georgia,1946,540
Georgia,1874,515
Georgia,1893,503
Georgia,1892,503
Georgia,1879,474
Georgia,1878,463
Georgia,1872,459
Georgia,1875,459
Georgia,1884,449
Georgia,1890,443
Georgia,1888,441
Georgia,1877,433
Georgia,1876,433
Georgia,1871,423
Georgia,1859,409
Georgia,1880,408
Georgia,1887,385
Georgia,1883,378
Georgia,1858,373
Georgia,1873,369
Georgia,1891,362
Georgia,1860,359
Georgia,1889,352
Georgia,1881,330
Georgia,1857,324
Georgia,1882,316
Georgia,1855,274
Georgia,1869,270
Georgia,1856,244
Georgia,1867,190
Georgia,1849,187
Georgia,1853,182
Georgia,1854,182
Georgia,1861,178
Georgia,1851,151
Georgia,1866,149
Georgia,1850,143
Georgia,1852,136
Georgia,1847,136
Georgia,1848,132
Georgia,1868,121
Georgia,1870,96
Georgia,1846,93
Georgia,1842,52
Georgia,1864,50
Georgia,1831,50
Georgia,1832,48
Georgia,1843,46
Georgia,1863,41
Georgia,1862,40
Georgia,1822,23
Georgia,1808,21
Georgia,1809,16
Georgia,1821,16
Georgia,1865,16
Georgia,1833,13
Georgia,1830,13
Georgia,1806,11
Georgia,1810,11
Georgia,1811,10
Georgia,1805,10
Georgia,1837,8
Georgia,1807,7
Georgia,1836,7
Georgia,1835,4
Georgia,1819,3
Georgia,1816,3
Georgia,1820,3
Georgia,1841,2
Georgia,1829,2
Georgia,1823,2
Georgia,1834,2
Georgia,1824,1
Georgia,1828,1
Colorado,1980,759
Colorado,1984,707
Colorado,1985,684
Colorado,1988,661
Colorado,1986,638
Colorado,1989,635
Colorado,1983,620
Colorado,1990,609
Colorado,1982,600
Colorado,1992,596
